Starting model=rnn epochs=10 batch=2 on host pax047
resume=<auto> run_dir=<auto>
CUDA_VISIBLE_DEVICES=0
Fri Apr 24 14:34:51 2026       
+-----------------------------------------------------------------------------------------+
| NVIDIA-SMI 575.57.08              Driver Version: 575.57.08      CUDA Version: 12.9     |
|-----------------------------------------+------------------------+----------------------+
| GPU  Name                 Persistence-M | Bus-Id          Disp.A | Volatile Uncorr. ECC |
| Fan  Temp   Perf          Pwr:Usage/Cap |           Memory-Usage | GPU-Util  Compute M. |
|                                         |                        |               MIG M. |
|=========================================+========================+======================|
|   0  NVIDIA H200 NVL                On  |   00000001:15:00.0 Off |                    0 |
| N/A   42C    P0             75W /  450W |       0MiB / 143771MiB |      0%      Default |
|                                         |                        |             Disabled |
+-----------------------------------------+------------------------+----------------------+
                                                                                         
+-----------------------------------------------------------------------------------------+
| Processes:                                                                              |
|  GPU   GI   CI              PID   Type   Process name                        GPU Memory |
|        ID   ID                                                               Usage      |
|=========================================================================================|
|  No running processes found                                                             |
+-----------------------------------------------------------------------------------------+
torch.cuda.is_available = True
torch.cuda.device_count = 1
torch.cuda.current_device = 0
torch.cuda.get_device_name(0) = NVIDIA H200 NVL
--- Starting Training on cuda ---
Populating dataset normalization statistics...
Stats loaded. Example Zone 0 (ME) - Mean: 1314.04, Std: 215.34
No existing checkpoint found in /cluster/home/supadh03/cs137/assignment3/evaluation/subhanga-additions/checkpoints/v2/rnn/runs/job-483063. Starting fresh.
  Epoch 1/10 [ 1180/10445] │ batch_loss=49357.3359 │ grad_norm=945277.0625
  Epoch 1/10 [ 1190/10445] │ batch_loss=36450.6523 │ grad_norm=1462159.0000
  Epoch 1/10 [ 1200/10445] │ batch_loss=481913.3438 │ grad_norm=3274973.0000
  Epoch 1/10 [ 1210/10445] │ batch_loss=14041.6152 │ grad_norm=206119.3125
  Epoch 1/10 [ 1220/10445] │ batch_loss=48427.2188 │ grad_norm=461479.7500
  Epoch 1/10 [ 1230/10445] │ batch_loss=53940.8242 │ grad_norm=3105148.5000
  Epoch 1/10 [ 1240/10445] │ batch_loss=34551.7344 │ grad_norm=1398293.0000
  Epoch 1/10 [ 1250/10445] │ batch_loss=150835.1094 │ grad_norm=1842899.6250
  Epoch 1/10 [ 1260/10445] │ batch_loss=13392.7334 │ grad_norm=555791.1875
  Epoch 1/10 [ 1270/10445] │ batch_loss=14401.8730 │ grad_norm=325101.9062
  Epoch 1/10 [ 1280/10445] │ batch_loss=70748.2734 │ grad_norm=1459754.5000
  Epoch 1/10 [ 1290/10445] │ batch_loss=224137.4688 │ grad_norm=2146082.0000
  Epoch 1/10 [ 1300/10445] │ batch_loss=54450.6523 │ grad_norm=1067186.0000
  Epoch 1/10 [ 1310/10445] │ batch_loss=127831.0547 │ grad_norm=744199.1875
  Epoch 1/10 [ 1320/10445] │ batch_loss=33261.8008 │ grad_norm=1674127.5000
  Epoch 1/10 [ 1330/10445] │ batch_loss=71254.4219 │ grad_norm=1833844.5000
  Epoch 1/10 [ 1340/10445] │ batch_loss=22613.2461 │ grad_norm=794726.7500
  Epoch 1/10 [ 1350/10445] │ batch_loss=53468.3398 │ grad_norm=480182.5000
  Epoch 1/10 [ 1360/10445] │ batch_loss=28127.4570 │ grad_norm=309715.7500
  Epoch 1/10 [ 1370/10445] │ batch_loss=23868.7031 │ grad_norm=297022.0938
  Epoch 1/10 [ 1380/10445] │ batch_loss=11706.1016 │ grad_norm=181972.9219
  Epoch 1/10 [ 1390/10445] │ batch_loss=31341.0996 │ grad_norm=715812.3750
  Epoch 1/10 [ 1400/10445] │ batch_loss=34931.0898 │ grad_norm=717542.6875
  Epoch 1/10 [ 1410/10445] │ batch_loss=42674.4453 │ grad_norm=963820.0000
  Epoch 1/10 [ 1420/10445] │ batch_loss=44281.8281 │ grad_norm=555185.3125
  Epoch 1/10 [ 1430/10445] │ batch_loss=53736.5781 │ grad_norm=4410763.0000
  Epoch 1/10 [ 1440/10445] │ batch_loss=60391.2188 │ grad_norm=1194911.1250
  Epoch 1/10 [ 1450/10445] │ batch_loss=19289.5430 │ grad_norm=213352.3906
  Epoch 1/10 [ 1460/10445] │ batch_loss=157413.2344 │ grad_norm=3161573.5000
  Epoch 1/10 [ 1470/10445] │ batch_loss=17152.0820 │ grad_norm=297928.4375
  Epoch 1/10 [ 1480/10445] │ batch_loss=20510.0898 │ grad_norm=355830.5625
  Epoch 1/10 [ 1490/10445] │ batch_loss=42784.5312 │ grad_norm=1222771.8750
  Epoch 1/10 [ 1500/10445] │ batch_loss=159895.0469 │ grad_norm=1825085.8750
  Epoch 1/10 [ 1510/10445] │ batch_loss=151009.4531 │ grad_norm=2213519.0000
  Epoch 1/10 [ 1520/10445] │ batch_loss=35653.9375 │ grad_norm=1083810.6250
  Epoch 1/10 [ 1530/10445] │ batch_loss=7672.2529 │ grad_norm=94327.7266
  Epoch 1/10 [ 1540/10445] │ batch_loss=50378.1875 │ grad_norm=669935.8750
  Epoch 1/10 [ 1550/10445] │ batch_loss=31053.9023 │ grad_norm=1501267.2500
